Using device: cpu
Episode 311/400 | Reward: 267.0 | Epsilon: 0.2104 | Loss: 0.986478
Episode 312/400 | Reward: 423.0 | Epsilon: 0.2093 | Loss: 1.045870
Episode 313/400 | Reward: 105.0 | Epsilon: 0.2083 | Loss: 0.553896
Episode 314/400 | Reward: 101.0 | Epsilon: 0.2072 | Loss: 1.237117
Episode 315/400 | Reward: 188.0 | Epsilon: 0.2062 | Loss: 1.027927
Episode 316/400 | Reward: 165.0 | Epsilon: 0.2052 | Loss: 1.211158
Episode 317/400 | Reward: 251.0 | Epsilon: 0.2041 | Loss: 0.897489
Episode 318/400 | Reward: 179.0 | Epsilon: 0.2031 | Loss: 1.024995
Episode 319/400 | Reward: 415.0 | Epsilon: 0.2021 | Loss: 1.082222
Episode 320/400 | Reward: 99.0 | Epsilon: 0.2011 | Loss: 1.853664
Episode 321/400 | Reward: 159.0 | Epsilon: 0.2001 | Loss: 1.215369
Episode 322/400 | Reward: 146.0 | Epsilon: 0.1991 | Loss: 1.151001
Episode 323/400 | Reward: 481.0 | Epsilon: 0.1981 | Loss: 0.908352
Episode 324/400 | Reward: 175.0 | Epsilon: 0.1971 | Loss: 0.891248
Episode 325/400 | Reward: 212.0 | Epsilon: 0.1961 | Loss: 1.330728
Episode 326/400 | Reward: 185.0 | Epsilon: 0.1951 | Loss: 1.128276
Episode 327/400 | Reward: 71.0 | Epsilon: 0.1942 | Loss: 1.210761
Episode 328/400 | Reward: 423.0 | Epsilon: 0.1932 | Loss: 0.924912
Episode 329/400 | Reward: 39.0 | Epsilon: 0.1922 | Loss: 0.261874
Episode 330/400 | Reward: 233.0 | Epsilon: 0.1913 | Loss: 0.836934
Episode 331/400 | Reward: 57.0 | Epsilon: 0.1903 | Loss: 1.361069
Episode 332/400 | Reward: 83.0 | Epsilon: 0.1893 | Loss: 0.992700
